Operator,Shape,Operand1,Operand2,Operand3,Operand4,Operand5,Operand6,Operand7,Operand8
ATTR,AbsenceThenExistence,azurerm_application_gateway.ssl_profile == Absence,azurerm_application_gateway.fips_enabled == Existence,,,,,,
ATTR,AbsenceThenExistence,azurerm_application_gateway.ssl_profile == Absence,azurerm_application_gateway.enable_http2 == Existence,,,,,,
ATTR,AbsenceThenExistence,azurerm_application_gateway.ssl_profile == Absence,azurerm_application_gateway.custom_error_configuration == Existence,,,,,,
ATTR,AbsenceThenExistence,azurerm_application_gateway.ssl_profile == Absence,azurerm_application_gateway.autoscale_configuration == Existence,,,,,,
ATTR,AbsenceThenExistence,azurerm_application_gateway.redirect_configuration == Absence,azurerm_application_gateway.zones == Existence,,,,,,
ATTR,AbsenceThenExistence,azurerm_application_gateway.redirect_configuration == Absence,azurerm_application_gateway.waf_configuration == Existence,,,,,,
ATTR,AbsenceThenExistence,azurerm_application_gateway.redirect_configuration == Absence,azurerm_application_gateway.url_path_map == Existence,,,,,,
ATTR,AbsenceThenExistence,azurerm_application_gateway.redirect_configuration == Absence,azurerm_application_gateway.timeouts == Existence,,,,,,
ATTR,AbsenceThenExistence,azurerm_application_gateway.redirect_configuration == Absence,azurerm_application_gateway.ssl_profile == Existence,,,,,,
ATTR,AbsenceThenExistence,azurerm_application_gateway.redirect_configuration == Absence,azurerm_application_gateway.rewrite_rule_set == Existence,,,,,,
ATTR,AbsenceThenExistence,azurerm_application_gateway.redirect_configuration == Absence,azurerm_application_gateway.probe == Existence,,,,,,
ATTR,AbsenceThenExistence,azurerm_application_gateway.redirect_configuration == Absence,azurerm_application_gateway.private_link_configuration == Existence,,,,,,
ATTR,AbsenceThenExistence,azurerm_application_gateway.redirect_configuration == Absence,azurerm_application_gateway.global == Existence,,,,,,
ATTR,AbsenceThenExistence,azurerm_application_gateway.redirect_configuration == Absence,azurerm_application_gateway.force_firewall_policy_association == Existence,,,,,,
ATTR,AbsenceThenExistence,azurerm_application_gateway.redirect_configuration == Absence,azurerm_application_gateway.fips_enabled == Existence,,,,,,
ATTR,AbsenceThenExistence,azurerm_application_gateway.redirect_configuration == Absence,azurerm_application_gateway.enable_http2 == Existence,,,,,,
ATTR,AbsenceThenExistence,azurerm_application_gateway.redirect_configuration == Absence,azurerm_application_gateway.custom_error_configuration == Existence,,,,,,
ATTR,AbsenceThenExistence,azurerm_application_gateway.redirect_configuration == Absence,azurerm_application_gateway.autoscale_configuration == Existence,,,,,,
ATTR,AbsenceThenExistence,azurerm_application_gateway.global == Absence,azurerm_application_gateway.zones == Existence,,,,,,
ATTR,AbsenceThenExistence,azurerm_application_gateway.global == Absence,azurerm_application_gateway.waf_configuration == Existence,,,,,,
ATTR,AbsenceThenExistence,azurerm_application_gateway.global == Absence,azurerm_application_gateway.url_path_map == Existence,,,,,,
ATTR,AbsenceThenExistence,azurerm_application_gateway.global == Absence,azurerm_application_gateway.timeouts == Existence,,,,,,
ATTR,AbsenceThenExistence,azurerm_application_gateway.global == Absence,azurerm_application_gateway.ssl_profile == Existence,,,,,,
